Species,StockVersion,StockID,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName,StockGroup
COHO,1,151,12,3,U-chehlh,Chehalis River Hatchery UnMarked,Grays Harbor
COHO,1,152,12,4,M-chehlh,Chehalis River Hatchery Marked,Grays Harbor
COHO,1,153,12,5,U-humptw,Humptulips River Wild UnMarked,Grays Harbor
COHO,1,154,12,6,M-humptw,Humptulips River Wild Marked,Grays Harbor
COHO,1,155,12,7,U-humpth,Humptulips River Hatchery UnMarked,Grays Harbor
COHO,1,156,12,8,M-humpth,Humptulips River Hatchery Marked,Grays Harbor
COHO,1,157,12,9,U-gryhmw,Grays Harbor Miscellaneous Wild UnMarked,Grays Harbor
COHO,1,158,12,10,M-gryhmw,Grays Harbor Miscellaneous Wild Marked,Grays Harbor
COHO,1,159,12,11,U-gryhbh,Grays Harbor Net Pens UnMarked,Grays Harbor
COHO,1,160,12,12,M-gryhbh,Grays Harbor Net Pens Marked,Grays Harbor
COHO,1,161,13,1,U-willaw,Willapa Bay Natural UnMarked,Willapa Bay
COHO,1,162,13,2,M-willaw,Willapa Bay Natural Marked,Willapa Bay
COHO,1,163,13,3,U-willah,Willapa Bay Hatchery UnMarked,Willapa Bay
COHO,1,164,13,4,M-willah,Willapa Bay Hatchery Marked,Willapa Bay
COHO,1,165,14,1,U-colreh,Columbia River Early Hatchery UnMarked,Columbia River
COHO,1,166,14,2,M-colreh,Columbia River Early Hatchery Marked,Columbia River
COHO,1,167,14,3,U-youngh,Youngs Bay Hatchery UnMarked,Columbia River
COHO,1,168,14,4,M-youngh,Youngs Bay Hatchery Marked,Columbia River
COHO,1,169,14,5,U-crorew,Lower Col R Oregon Wild UnMarked,Columbia River
COHO,1,170,14,6,M-crorew,Lower Col R Oregon Wild Marked,Columbia River
COHO,1,171,14,7,U-washew,Wash Early Wild UnMarked,Columbia River
COHO,1,172,14,8,M-washew,Wash Early Wild Marked,Columbia River
COHO,1,173,14,9,U-washlw,Wash Late Wild UnMarked,Columbia River
COHO,1,174,14,10,M-washlw,Wash Late Wild Marked,Columbia River
COHO,1,175,14,11,U-colrlh,Columbia River Late Hatchery UnMarked,Columbia River
COHO,1,176,14,12,M-colrlh,Columbia River Late Hatchery Marked,Columbia River
COHO,1,177,15,1,U-orenoh,Oregon North Coast Hatchery UnMarked,Oregon
COHO,1,178,15,2,M-orenoh,Oregon North Coast Hatchery Marked,Oregon
COHO,1,179,15,3,U-orenow,Oregon North Coast Wild UnMarked,Oregon
COHO,1,180,15,4,M-orenow,Oregon North Coast Wild Marked,Oregon
COHO,1,181,15,5,U-orenmh,Oregon North-Mid Coast Hatchery UnMarked,Oregon
COHO,1,182,15,6,M-orenmh,Oregon North-Mid Coast Hatchery Marked,Oregon
COHO,1,183,15,7,U-orenmw,Oregon North-Mid Coast Wild UnMarked,Oregon
COHO,1,184,15,8,M-orenmw,Oregon North-Mid Coast Wild Marked,Oregon
COHO,1,185,15,9,U-oresmh,Oregon South-Mid Coast Hatchery UnMarked,Oregon
COHO,1,186,15,10,M-oresmh,Oregon South-Mid Coast Hatchery Marked,Oregon
COHO,1,187,15,11,U-oresmw,Oregon South-Mid Coast Wild UnMarked,Oregon
COHO,1,188,15,12,M-oresmw,Oregon South-Mid Coast Wild Marked,Oregon
COHO,1,189,15,13,U-oranah,Oregon Anadromous Hatchery UnMarked,Oregon
COHO,1,190,15,14,M-oranah,Oregon Anadromous Hatchery Marked,Oregon
COHO,1,191,15,15,U-oraqah,Oregon Aqua-Foods Hatchery UnMarked,Oregon
COHO,1,192,15,16,M-oraqah,Oregon Aqua-Foods Hatchery Marked,Oregon
COHO,1,193,16,1,U-oresoh,Oregon South Coast Hatchery UnMarked,Oregon
COHO,1,194,16,2,M-oresoh,Oregon South Coast Hatchery Marked,Oregon
COHO,1,195,16,3,U-oresow,Oregon South Coast Wild UnMarked,Oregon
COHO,1,196,16,4,M-oresow,Oregon South Coast Wild Marked,Oregon
COHO,1,197,16,5,U-calnoh,California North Coast Hatchery UnMarked,California
COHO,1,198,16,6,M-calnoh,California North Coast Hatchery Marked,California
COHO,1,199,16,7,U-calnow,California North Coast Wild UnMarked,California
COHO,1,200,16,8,M-calnow,California North Coast Wild Marked,California
COHO,1,201,16,9,U-calcnh,California Central Coast Hatchery UnMarked,California
COHO,1,202,16,10,M-calcnh,California Central Coast Hatchery Marked,California
COHO,1,203,16,11,U-calcnw,California Central Coast Wild UnMarked,California
COHO,1,204,16,12,M-calcnw,California Central Coast Wild Marked,California
COHO,1,205,17,1,U-gsmndh,Georgia Strait Mainland Hatchery UnMarked,Canada
COHO,1,206,17,2,M-gsmndh,Georgia Strait Mainland Hatchery Marked,Canada
COHO,1,207,17,3,U-gsmndw,Georgia Strait Mainland Wild UnMarked,Canada
COHO,1,208,17,4,M-gsmndw,Georgia Strait Mainland Wild Marked,Canada
COHO,1,209,18,1,U-gsvcih,Georgia Strait Vanc. Isl. Hatchery UnMarked,Canada
COHO,1,210,18,2,M-gsvcih,Georgia Strait Vanc. Isl. Hatchery Marked,Canada
COHO,1,211,18,3,U-gsvciw,Georgia Strait Vanc. Isl. Wild UnMarked,Canada
COHO,1,212,18,4,M-gsvciw,Georgia Strait Vanc. Isl. Wild Marked,Canada
COHO,1,213,19,1,U-jnstrh,Johnstone Strait Hatchery UnMarked,Canada
COHO,1,214,19,2,M-jnstrh,Johnstone Strait Hatchery Marked,Canada
COHO,1,215,19,3,U-jnstrw,Johnstone Strait Wild UnMarked,Canada
COHO,1,216,19,4,M-jnstrw,Johnstone Strait Wild Marked,Canada
COHO,1,217,20,1,U-swvcih,SW Vancouver Island Hatchery UnMarked,Canada
COHO,1,218,20,2,M-swvcih,SW Vancouver Island Hatchery Marked,Canada
COHO,1,219,20,3,U-swvciw,SW Vancouver Island Wild UnMarked,Canada
COHO,1,220,20,4,M-swvciw,SW Vancouver Island Wild Marked,Canada
COHO,1,221,21,1,U-nwvcih,NW Vancouver Island Hatchery UnMarked,Canada
COHO,1,222,21,2,M-nwvcih,NW Vancouver Island Hatchery Marked,Canada
COHO,1,223,21,3,U-nwvciw,NW Vancouver Island Wild UnMarked,Canada
COHO,1,224,21,4,M-nwvciw,NW Vancouver Island Wild Marked,Canada
COHO,1,225,22,1,U-frslwh,Lower Fraser River Hatchery UnMarked,Fraser
COHO,1,226,22,2,M-frslwh,Lower Fraser River Hatchery Marked,Fraser
COHO,1,227,22,3,U-frslww,Lower Fraser River Wild UnMarked,Fraser
COHO,1,228,22,4,M-frslww,Lower Fraser River Wild Marked,Fraser
COHO,1,229,23,1,U-frsuph,Upper Fraser River Hatchery UnMarked,Fraser
COHO,1,230,23,2,M-frsuph,Upper Fraser River Hatchery Marked,Fraser
COHO,1,231,23,3,U-frsupw,Upper Fraser River Wild UnMarked,Fraser
COHO,1,232,23,4,M-frsupw,Upper Fraser River Wild Marked,Fraser
COHO,1,233,25,1,U-bccnhw,BC Central Coast Hatchery/Wild UnMarked,Canada
COHO,1,234,25,2,M-bccnhw,BC Central Coast Hatchery/Wild Marked,Canada
COHO,1,235,26,1,U-bcnchw,BC North Coast Hatchery/Wild UnMarked,Canada
COHO,1,236,26,2,M-bcnchw,BC North Coast Hatchery/Wild Marked,Canada
COHO,1,237,30,1,U-tranhw,Trans Boundary Hatchery/Wild UnMarked,Canada
COHO,1,238,30,2,M-tranhw,Trans Boundary Hatchery/Wild Marked,Canada
COHO,1,239,31,1,U-niakhw,Alaska Northern Inside Hat/Wild UnMarked,Alaska
COHO,1,240,31,2,M-niakhw,Alaska Northern Inside Hat/Wild Marked,Alaska
COHO,1,241,32,1,U-noakhw,Alaska Northern Outside Hat/Wild UnMarked,Alaska
COHO,1,242,32,2,M-noakhw,Alaska Northern Outside Hat/Wild Marked,Alaska
COHO,1,243,33,1,U-siakhw,Alaska Southern Inside Hat/Wild UnMarked,Alaska
COHO,1,244,33,2,M-siakhw,Alaska Southern Inside Hat/Wild Marked,Alaska
COHO,1,245,34,1,U-soakhw,Alaska Southern Outside Hat/Wild UnMarked,Alaska
COHO,1,246,34,2,M-soakhw,Alaska Southern Outside Hat/Wild Marked,Alaska
