Species,StockVersion,"ProductionRegion
Number",ManagementUnitNumber,RRTerm_PR,"RRTerm
_PR_MU",StockID,StockLongName,StockName,StkGroup,MZGroup,StkLabel,TYPE,PR_Alpha,NatManagementObj
COHO,1,5,10,5,5,70,Nisqually River Wild Marked,M-nisqlw,35,9,Nisqually River Wild,Wild,E,
COHO,1,5,11,5,6,71,Fox Island Net Pens UnMarked,U-foxish,36,,Fox Island Net Pens,Hatchery,E,
COHO,1,5,12,5,6,72,Fox Island Net Pens Marked,M-foxish,36,,Fox Island Net Pens,Hatchery,E,
COHO,1,5,13,5,7,73,Minter Creek Hatchery UnMarked,U-mintch,37,,Minter Creek Hatchery,Hatchery,E,
COHO,1,5,14,5,7,74,Minter Creek Hatchery Marked,M-mintch,37,,Minter Creek Hatchery,Hatchery,E,
COHO,1,5,15,5,8,75,Area 13 Miscellaneous Wild UnMarked,U-ar13mw,38,7,Area 13 Miscellaneous Wild,Wild,E,
COHO,1,5,16,5,8,76,Area 13 Miscellaneous Wild Marked,M-ar13mw,38,7,Area 13 Miscellaneous Wild,Wild,E,
COHO,1,5,17,5,9,77,Chambers Creek Hatchery UnMarked,U-chambh,39,,Chambers Creek Hatchery,Hatchery,E,
COHO,1,5,18,5,9,78,Chambers Creek Hatchery Marked,M-chambh,39,,Chambers Creek Hatchery,Hatchery,E,
COHO,1,5,19,5,10,79,Area 13 Miscellaneous Hatchery UnMarked,U-ar13mh,40,,Area 13 Miscellaneous Hatchery,Hatchery,E,
COHO,1,5,20,5,10,80,Area 13 Miscellaneous Hatchery Marked,M-ar13mh,40,,Area 13 Miscellaneous Hatchery,Hatchery,E,
COHO,1,5,21,5,11,81,Area 13A Miscellaneous Wild UnMarked,U-ar13aw,41,7,Area 13A Miscellaneous Wild,Wild,E,
COHO,1,5,22,5,11,82,Area 13A Miscellaneous Wild Marked,M-ar13aw,41,7,Area 13A Miscellaneous Wild,Wild,E,
COHO,1,5,23,5,12,83,Puyallup River Hatchery UnMarked,U-puyalh,42,,Puyallup River Hatchery,Hatchery,E,
COHO,1,5,24,5,12,84,Puyallup River Hatchery Marked,M-puyalh,42,,Puyallup River Hatchery,Hatchery,E,
COHO,1,5,25,5,13,85,Puyallup River Wild UnMarked,U-puyalw,43,10,Puyallup River Wild,Wild,E,
COHO,1,5,26,5,13,86,Puyallup River Wild Marked,M-puyalw,43,10,Puyallup River Wild,Wild,E,
COHO,1,5,27,5,14,87,Area 11 Hatchery UnMarked,U-are11h,44,,Area 11 Hatchery,Hatchery,E,
COHO,1,5,28,5,14,88,Area 11 Hatchery Marked,M-are11h,44,,Area 11 Hatchery,Hatchery,E,
COHO,1,5,29,5,15,89,Area 11 Miscellaneous Wild UnMarked,U-ar11mw,45,13,Area 11 Miscellaneous Wild,Wild,E,
COHO,1,5,30,5,15,90,Area 11 Miscellaneous Wild Marked,M-ar11mw,45,13,Area 11 Miscellaneous Wild,Wild,E,
COHO,1,5,31,5,16,91,Area 10E Hatchery UnMarked,U-ar10eh,46,,Area 10E Hatchery,Hatchery,E,
COHO,1,5,32,5,16,92,Area 10E Hatchery Marked,M-ar10eh,46,,Area 10E Hatchery,Hatchery,E,
COHO,1,5,33,5,17,93,Area 10E Miscellaneous Wild UnMarked,U-ar10ew,47,13,Area 10E Miscellaneous Wild,Wild,E,
COHO,1,5,34,5,17,94,Area 10E Miscellaneous Wild Marked,M-ar10ew,47,13,Area 10E Miscellaneous Wild,Wild,E,
COHO,1,5,35,5,18,95,Green River Hatchery UnMarked,U-greenh,48,,Green River Hatchery,Hatchery,E,
COHO,1,5,36,5,18,96,Green River Hatchery Marked,M-greenh,48,,Green River Hatchery,Hatchery,E,
COHO,1,5,37,5,19,97,Green River Wild UnMarked,U-greenw,49,11,Green River Wild,Wild,E,
COHO,1,5,38,5,9,98,Green River Wild Marked,M-greenw,49,11,Green River Wild,Wild,E,
COHO,1,5,39,5,20,99,Lake Washington Hatchery UnMarked,U-lakwah,50,,Lake Washington Hatchery,Hatchery,E,
COHO,1,5,40,5,20,100,Lake Washington Hatchery Marked,M-lakwah,50,,Lake Washington Hatchery,Hatchery,E,
COHO,1,5,41,5,21,101,Lake Washington Wild UnMarked,U-lakwaw,51,12,Lake Washington Wild,Wild,E,
COHO,1,5,42,5,21,102,Lake Washington Wild Marked,M-lakwaw,51,12,Lake Washington Wild,Wild,E,
COHO,1,5,43,5,22,103,Area 10 Hatchery UnMarked,U-are10h,52,,Area 10 Hatchery,Hatchery,E,
COHO,1,5,44,5,22,104,Area 10 Hatchery Marked,M-are10h,52,,Area 10 Hatchery,Hatchery,E,
COHO,1,5,45,5,23,105,Area 10 Miscellaneous Wild UnMarked,U-ar10mw,53,13,Area 10 Miscellaneous Wild,Wild,E,
COHO,1,5,46,5,23,106,Area 10 Miscellaneous Wild Marked,M-ar10mw,53,13,Area 10 Miscellaneous Wild,Wild,E,
COHO,1,6,1,6,1,107,Dungeness River Wild UnMarked,U-dungew,54,,Dungeness River Wild,Wild,F,
COHO,1,6,2,6,1,108,Dungeness River Wild Marked,M-dungew,54,,Dungeness River Wild,Wild,F,
COHO,1,6,3,6,2,109,Dungeness Hatchery UnMarked,U-dungeh,55,,Dungeness Hatchery,Hatchery,F,
COHO,1,6,4,6,2,110,Dungeness Hatchery Marked,M-dungeh,55,,Dungeness Hatchery,Hatchery,F,
COHO,1,6,5,6,3,111,Elwha River Wild UnMarked,U-elwhaw,56,,Elwha River Wild,Wild,F,
COHO,1,6,6,6,3,112,Elwha River Wild Marked,M-elwhaw,56,,Elwha River Wild,Wild,F,
COHO,1,6,7,6,4,113,Elwha Hatchery UnMarked,U-elwhah,57,,Elwha Hatchery,Hatchery,F,
COHO,1,6,8,6,4,114,Elwha Hatchery Marked,M-elwhah,57,,Elwha Hatchery,Hatchery,F,
COHO,1,6,9,6,5,115,East JDF Miscellaneous Wild UnMarked,U-ejdfmw,58,14,East JDF Miscellaneous Wild,Wild,F,Strait of Juan de Fuca
COHO,1,6,10,6,5,116,East JDF Miscellaneous Wild Marked,M-ejdfmw,58,14,East JDF Miscellaneous Wild,Wild,F,Strait of Juan de Fuca
